Name,mean
Pilibhit,0.106655411
Sambhal,0.092475275
Chandausi,0.082480223
Shikohabad,0.087406807
Bhind,0.11119407
Tonk,0.13501016
Pali,0.112804244
Baran,0.148397167
Chhattarpur,0.127213375
Singrauli,0.101969529
Hugli and Chinsurah,0.165129577
Adilabad,0.121455217
Bid/Beed,0.121958151
Osmanabad,0.160826909
Machilipatnam,0.149249975
Chikmagalur,0.195904325
Tiruchirappalli,0.186451783
Amroha,0.062764155
Budaun,0.073588704
Etah,0.090280609
Hindaun,0.130331276
Sultanpur,0.082794486
Siwan,0.052494126
Maunath Bhanjan,0.072481697
Raiganj,0.18292689
Buxar,0.079504469
Jamalpur,0.165374473
Balurghat,0.212496178
Dehri,0.077120959
Aurangabad(Bihar),0.10201291
Palanpur,0.118152482
Mandsaur,0.145626071
Kalol,0.12975426
Godhra,0.111503537
Pithampur,0.120380837
Botad,0.092975189
Gondal,0.105138933
Raigarh,0.048965355
Khargone,0.106535985
Nagpur,0.137834431
Veraval,0.100624143
Jagdalpur,0.133827961
Gudivada,0.15785898
Narasaraopet,0.128014297
Adoni,0.107374868
Hospet,0.128753738
Ranibennur,0.202979318
Chitradurga,0.171532256
Kolar,0.116028505
Rajapalayam,0.17049299
Jammu,0.1200522
Modinagar,0.060877248
Sitapur,0.078969074
Nagaur,0.129947425
Ballia,0.071367928
Ghazipur,0.076932568
Munger,0.152641715
Sasaram,0.099075111
Lalitpur,0.14453329
Vidisha,0.133066699
Nabadwip,0.212446136
Puruliya,0.182464959
Betul,0.167532939
Rajnandgaon,0.160350829
Badalapur,0.142974656
Udgir,0.094866804
Barshi,0.108275569
Miryalaguda,0.107256732
Tenali,0.105120178
Guntakal,0.147182343
Vellore,0.206886399
Mysore,0.134877041
Kumbakonam,0.154417689
Karaikkudi,0.228032453
Hapur,0.053541021
Churu,0.112032255
Palwal,0.078334726
Hathras,0.079243166
Mathura,0.089514466
Farrukhbad,0.093335556
Bettiah,0.073381513
Basti,0.103250275
Deoria,0.070650367
Biharsharif,0.113657385
Mirzapur and Vindhyachal,0.087792767
Kulti,0.130516218
Kolkatta,0.103709696
Seoni,0.182832139
Baripada,0.231833305
Gadag and Betigeri,0.165335672
Tiruvannamalai,0.189505891
Alappuzha,0.280709214
Jalandhar,0.073539865
Firozpur,0.075820185
Muktsar,0.076603267
Bahraich,0.093109599
Hardoi,0.088001355
Etawah,0.100217062
Motihari,0.048629706
Beawar,0.14449628
Fatehpur,0.116897414
Chapra,0.072866158
Katihar,0.127026691
Patan,0.11391689
Santipur,0.249320679
Gondiya,0.160437535
Burhanpur,0.108673618
Nandyal,0.15349743
Proddatur,0.137532993
Coimbatore,0.120388824
Lakhimpur,0.092912734
Banda,0.13941546
Begusarai,0.137693765
Bhatpara,0.13684503
Nalgonda,0.132541816
Mandya,0.176485724
Faizabad,0.084315397
Krishnanagar,0.227574241
Bidar,0.108841966
Mahbubnagar,0.108706681
Kancheepuram,0.12922336
Dindigul,0.187437741
Pathankot,0.139284696
Khanna,0.081996399
Malerkotla,0.095796478
Abohar,0.083160982
Roorkee,0.094088425
Shahjahanpur,0.074757683
Sujangarh,0.118851396
Dibrugarh,0.231224184
Medinipur,0.171827833
Raurkela,0.294595811
Wardha,0.127245326
Kadapa,0.131666947
Nagercoil,0.257400381
Hoshiarpur,0.121343937
Kaithal,0.105163872
Darbhanga,0.100478987
Jind,0.103231398
Burari,0.034515341
Bijapur,0.108782835
Anantapur,0.121150867
Batala,0.099669845
Rampur,0.087191408
Nagaon,0.243903102
Mango,0.141022649
Brahmapur Town,0.138079457
Parbhani,0.130591301
Bhiwadi,0.098564207
Surendranagar Dudhrej,0.111800875
Thanesar,0.117057334
Ganganagar,0.070300121
Mohali,0.158724997
Haldwani,0.171140367
Davanagere,0.181390609
Firozabad,0.064341218
Ujjain,0.145224571
Waghala Nanded,0.083367248
Sikar,0.12766898
Dimapur,0.263414622
Muzaffarnagar,0.052270551
Agartala,0.208302399
Jalgaon,0.134937801
Barddhaman,0.143251173
Jhansi,0.141208624
Gulbarga,0.113950512
Yamunanagar-Jagadhri,0.064973645
Adityapur,0.093630144
Cuttack,0.184775428
Saharanpur,0.074407268
Moradabad,0.061761619
Amravati,0.127611719
Asansol,0.108501029
Panipat,0.070371889
Gwalior,0.137934235
Jamshedpur,0.127226286
Haora,0.189036258
Kathgodam,0.231280895
Gangapur,0.212472803
Shimla,0.350551557
Khora,0.181690183
Aizawl,0.243263721
Darjiling,0.491471044
Ashoknagar_Kalyannagar,0.274395609
Nandurbar,0.20469564
Gangtok,0.198934914
Port Blair,
Uluberia,0.213204428
Raigad,0.391283508
Halisahar,0.216867766
Mahestala,0.2128465
Bagaha,0.118771733
Ozhukarai,0.164204136
Akbarpur,0.190089934
Orai,0.224708529
Kalyani,0.256132224
Kanchrapara,0.232364851
Habra,0.327466175
Neyveli,0.109248575
Kozhikode,0.061578417
Pudukkotai,0.255112817
